date,startup_name,industry_vertical,subvertical,city_location,investors_name,investmentntype,amount_in_usd,year,month
2016-12-08,Crofarm,Technology,Agri-Tech supply chain Solution provider,Gurgaon,"Mukul Singhal, Rohit Jain, Himanshu Aggrawal, Sunil Goyal Ashish Gupta,",Private Equity,1500000.0,2016.0,12.0
2016-12-08,Faircent.com,Consumer Internet,peer-to-peer lending platform,Gurgaon,Brand Capital,Private Equity,1500000.0,2016.0,12.0
2016-12-08,Innovaccer,Technology,Integrated Enterprise Analytics Platform,Noida,Westbridge Capital Partners,Private Equity,15600000.0,2016.0,12.0
2016-12-08,Cuberoot,Technology,Data Analytics & Audience Management Platform,Gurgaon,Undisclosed Investors,Seed Funding,500000.0,2016.0,12.0
2016-12-08,Funcastic,Consumer Internet,B2C vernacular podcast aggregator platform,New Delhi,"HT Media Ltd, North Base Media",Seed Funding,,2016.0,12.0
2016-01-07,RazorPay,Consumer Internet,Online Payment Gateway,Bangalore,MasterCard,Private Equity,,2016.0,1.0
2016-01-07,DarwinBox,Technology,HR Software Services Startup,Hyderabad,"3one4 Capital, Tracxn Labs, Aaruha Technology Fund, Endiya Partners",Seed Funding,,2016.0,1.0
2016-01-07,Venture Catalysts,Consumer Internet,Seed Investment & Innovation Platform,Mumbai,Zaffiro Ventures,Seed Funding,500000.0,2016.0,1.0
2016-01-07,PressPlay TV,Consumer Internet,Video Content Discovery Platform,New Delhi,"Sequoia Capital, SD Ventures, Vistaar Investment Advisors Pvt. Ltd.",Private Equity,,2016.0,1.0
2016-02-07,Playment,Consumer Internet,Mobile Marketplace for Crowdsourced Work,Bangalore,SAIF Partners,Private Equity,700000.0,2016.0,2.0
2016-04-07,WealthTrust,Consumer Internet,Wealth Management App,Mumbai,India Quotient,Seed Funding,,2016.0,4.0
2016-04-07,Curefit,Consumer Internet,Online Preventive Healthcare Platform,Bangalore,"Accel Partners, IDG Ventures, Kalaari Capital",Private Equity,15000000.0,2016.0,4.0
2016-04-07,StitchWood,eCommerce,Custom Furniture Online,Mumbai,Deepak Gupta,Seed Funding,200000.0,2016.0,4.0
2016-04-07,Grab.in,Logistics,hyperlocal logistics service,Mumbai,Aramex Ventures Llc,Private Equity,2000000.0,2016.0,4.0
2016-04-07,Fulfil.IO,Consumer Internet,Cloud Based ERP Software,US,Rajan Anandan,Seed Funding,,2016.0,4.0
2016-04-07,NeoGrowth,Finance,SME Lending platform,Mumbai,"IIFL Wealth Management Seed Venture Fund, Omidyar Network, Khosla Impact, Aspada",Private Equity,16000000.0,2016.0,4.0
2016-05-07,SeeDoc,Consumer Internet,Video Based Doctor Consulting platform App,Gurgaon,YourNest Angel Fund\\xc2\\xa0 & Others,Private Equity,1000000.0,2016.0,5.0
2016-05-07,BookMyShow,Consumer Internet,Event & Movie Ticketing platform,Mumbai,"Stripes Group, Network 18, Accel Partners, SAIF Partners",Private Equity,82000000.0,2016.0,5.0
2016-05-07,Flyrobe,eCommerce,Online fashion rental platform,Mumbai,"Sequoia Capital, Rohit Bansal, Kunal Bahl, Sandeep Tandon, Kunal Shah, Zishaan Hayath,\\xc2\\xa0 Abhishek Jain",Seed Funding,1700000.0,2016.0,5.0
2016-06-07,HappilyUnmarried,eCommerce,Online Merchandize etailer,New Delhi,Info Edge (India) Ltd,Private Equity,740000.0,2016.0,6.0
2016-06-07,Don\\xe2\\x80\\x99t Scratch Your Head,Technology,Full Stack Offline & Online ERP Solution,Ahmedabad,"Gaurav Singhvi, Zaffiro Ventures",Seed Funding,250000.0,2016.0,6.0
2016-06-07,Wedding Wishlist,Consumer Internet,"Wedding Wishlist, Gifts & Registry Creation platform",Chennai,"Kirthiga Reddy, Renuka Ramanath,Cherry Tin",Seed Funding,297000.0,2016.0,6.0
2016-07-07,AppDaily,Technology,Mobile Security App development & Distribution,Mumbai,"Kalaari Capital, Qualcomm Ventures, ru-Net, Zodius Technology Opportunities Fund,",Private Equity,2000000.0,2016.0,7.0
2016-07-07,Adytude,Consumer Internet,Gamified Consumer Insights Portal,New Delhi,Indian Angel Network,Private Equity,1000000.0,2016.0,7.0
2016-07-07,Quickli,Logistics,On-Demand Delivery Startup,Gurgaon,"AVG Group, 500 Startups",Private Equity,,2016.0,7.0
2016-07-07,SpectraVR,Technology,Virtual Reality Content Studio,Mumbai,Rothenberg Ventures,Seed Funding,,2016.0,7.0
2016-08-07,Pitstop,Consumer Internet,Online Car Repair and Servicing Booking platform,Bangalore,"Alex Chua, Rahul Garg",Seed Funding,,2016.0,8.0
2016-08-07,HolaChef,Consumer Internet,Online Food Ordering & Delivery Platform,Mumbai,"Kalaari Capital, India Quotient",Private Equity,1950000.0,2016.0,8.0
2016-11-07,Purplle,eCommerce,Beauty Products Marketplace,Mumbai,"JSW Ventures, Blume Ventures & IvyCap Ventures",Private Equity,6000000.0,2016.0,11.0
2016-11-07,Trak N Tell,Technology,Car Tracking & Safety System,Gurgaon,Brian Acton,Private Equity,3500000.0,2016.0,11.0
2016-11-07,Overcart.com,eCommerce,Unboxed & refurbished electronic products marketplace,Gurgaon,"JSW Ventures, Omidyar Network, Sattva Capital, Venture Works",Private Equity,3000000.0,2016.0,11.0
2016-12-07,SirionLabs,Technology,SAAS based Service Agreement Management,Gurgaon,Sequoia Capital,Private Equity,12250000.0,2016.0,12.0
2016-12-07,GyanDhan,Consumer Internet,Education Focused Financing Platform,New Delhi,"Stanford Angels & Entrepreneurs, Harvard Angels",Seed Funding,,2016.0,12.0
2016-12-07,MintM,Consumer Internet,Digital Marketing & AdTech Platform,Bangalore,"Mumbai Angels,\\xc2\\xa0 Times Internet",Private Equity,,2016.0,12.0
2016-12-07,HitGrit,Consumer Internet,Online Legal Consultation platform,Chandigarh,"Ashish Mahajan, Sarvesh Sharma",Seed Funding,,2016.0,12.0
2016-12-07,Find My Stay,Consumer Internet,Online Budget Hotel Aggregator & Booking Platform,New Delhi,"Rishi Parti, Yogesh Bansal",Seed Funding,,2016.0,12.0
2016-01-06,Chikoop,Consumer Internet,Free Ad based Voice Calling,Indore,Undisclosed Investors,Seed Funding,,2016.0,1.0
2016-01-06,BRIDGEi2I,Technology,Data Analytics Platform,Bangalore,Edelweiss Private Equity,Private Equity,,2016.0,1.0
2016-02-06,Droom,eCommerce,Online marketplace for used automobiles,New Delhi,"Beenext, Digital Garage, Lightbox, Beenos",Private Equity,,2016.0,2.0
2016-02-06,Visit,Consumer Internet,On-Demand Healthcare Service provider,New Delhi,MapmyIndia,Seed Funding,,2016.0,2.0
2016-02-06,Atomberg,Technology,"smart, energy efficient home appliance manufacturer",Mumbai,Parampara Capital,Private Equity,1000000.0,2016.0,2.0
2016-02-06,Coutloot,eCommerce,Fashion Re-Commerce Platform,Mumbai,Venture Catalysts,Seed Funding,,2016.0,2.0
2016-02-06,Limo,Consumer Internet,Bus Aggregator Mobile app,Mumbai,Rainmaker Ventures,Private Equity,1000000.0,2016.0,2.0
2016-03-06,iCliniq,Consumer Internet,Doctor Consultation platform,Bangalore,MadhanKumar Madathupalayam,Seed Funding,,2016.0,3.0
2016-03-06,GoGo Truck,Consumer Internet,Truck Aggregator & Booking platform,Chennai,Undisclosed Investor,Seed Funding,75000.0,2016.0,3.0
2016-03-06,Vyome Biosciences,Healthcare,Treatment Development for Antibiotic-resistant diseases,New Delhi,Romulus Capital,Private Equity,2000000.0,2016.0,3.0
2016-06-06,SillyMonks,Consumer Internet,Digital Media and Entertainment Startup,Hyderabad,Sreenivasa Reddy Musani,Seed Funding,448000.0,2016.0,6.0
2016-07-06,CueMath,Education,K-12 Maths Learning Courses,Bangalore,"Sequoia Capital, Unitus Seed Fund",Private Equity,4000000.0,2016.0,7.0
2016-07-06,KrazyBee,Consumer Internet,Student Micro-Loan platform,Bangalore,"Yeahmobi, Fenqile",Private Equity,2000000.0,2016.0,7.0
2016-07-06,Intgrea,Technology,Post merger Integration Partners,Bangalore,Undisclosed Investor,Seed Funding,100000.0,2016.0,7.0
2016-07-06,HelpShift,Technology,Mobile CRM Platform,Pune,"Microsoft Ventures, Salesforce Ventures",Private Equity,23000000.0,2016.0,7.0
2016-07-06,CreditVidya,Technology,Credit Scoring Platform,Mumbai,Kalaari Capital,Private Equity,1000000.0,2016.0,7.0
2016-08-06,Grey Campus,Consumer Internet,Online Learning Platform,Hyderabad,Sarath Sura,Seed Funding,1000000.0,2016.0,8.0
2016-08-06,ListUp,eCommerce,Location based Classified Mobile app,Mumbai,"Kae Capital, Kunal Shah, Sandeep Tandon",Seed Funding,500000.0,2016.0,8.0
2016-08-06,6Degree,Technology,Tech-enabled Fashion Talent platform,Mumbai,Indian Angel Network,Seed Funding,200000.0,2016.0,8.0
2016-08-06,Shopwati,Consumer Internet,Online Fashion Discussion Community,Gurgaon,Sanjiv Rai,Seed Funding,,2016.0,8.0
2016-08-06,Cookifi,Consumer Internet,Online Chef Discovery & Booking Service,Bangalore,"Kunal Shah, Aneesh Reddy, Tracxn Labs, Venkat Tadanki, Krishna Mehra, Amit Rathore",Seed Funding,,2016.0,8.0
2016-08-06,StoreKing,eCommerce,Connecting Small Town Consumers to E-Commerce,Bangalore,Axiata Digital,Private Equity,16000000.0,2016.0,8.0
2016-08-06,Wired Hub,Real Estate,Co-Working Spaces,Jaipur,"Ankit Maheshwari, Anand Singh",Seed Funding,,2016.0,8.0
2016-08-06,MySeniorDoctor,Consumer Internet,Online medical support platform,Gurgaon,BlackJag Partners,Seed Funding,200000.0,2016.0,8.0
2016-09-06,Teabox,eCommerce,Online Tea Store,Siliguri,Cameron Jones,Seed Funding,,2016.0,9.0
2016-09-06,ExtraaEdge,Consumer Internet,Student Acquisition Platform,Pune,"Ritesh Dwivedy, Priti Padhy",Seed Funding,,2016.0,9.0
2016-09-06,EPayLater,Technology,Fin-Tech Platform,Mumbai,3 undisclosed HNIs,Seed Funding,2000000.0,2016.0,9.0
2016-10-06,Kyazoonga,eCommerce,Online event ticketing Platform,Mumbai,Ratan Tata,Seed Funding,,2016.0,10.0
2016-10-06,Paytunes,Consumer Internet,Mobile based rewards platform,New Delhi,"CIO Angel Network, Indian Angel Network",Private Equity,500000.0,2016.0,10.0
2016-10-06,Kickstart Jobs,Technology,Entry level hiring platform,Gurgaon,"Vivek Joshi, Mohit Satyanand, Amit Banati, Arun Khanna",Seed Funding,,2016.0,10.0
2016-10-06,Freshee,FMCG,Household packaging & Storage product manufacturer,Mumbai,Edelweiss Private Equity,Private Equity,,2016.0,10.0
2016-10-06,MadRat Games,Technology,Wearable Gaming Platform,Bangalore,"Ratan Tata, Bhavish Aggarwal, Ankit Bhati, Binny Bansal, Girish Mathrubootham",Seed Funding,,2016.0,10.0
2016-11-06,Jazzmyride,eCommerce,Auto Parts & Accessories eTailer,New Delhi,TVS Automobile Solutions Ltd,Private Equity,,2016.0,11.0
2016-11-06,AutoSense,Technology,Data Analytics based Customer Management Services,New Delhi,TVS Automobile Solutions Ltd,Private Equity,,2016.0,11.0
2016-11-06,Redsun Telematics,Consumer Internet,Internet of Things Platform,Chennai,TVS Automobile Solutions Ltd,Private Equity,,2016.0,11.0
2016-01-05,MotoMojo,Consumer Internet,Mobile based Vehicle maintenance App,Mumbai,"Niloufer Dundh, Fauzan Rahim, Balamurugan Mani,",Seed Funding,,2016.0,1.0
2016-01-05,Get My Parking,Technology,Parking Technology Platform,New Delhi,The Chennai Angels,Seed Funding,376000.0,2016.0,1.0
2016-01-05,Prescribez,Consumer Internet,Health Service Aggregator Platform,Pune,Ankush Mehta,Seed Funding,145000.0,2016.0,1.0
2016-02-05,Airwood,Technology,Agri Data & Analytics Platform,Chennai,StartupXseed Ventures,Seed Funding,,2016.0,2.0
2016-03-05,Mobikwik,Consumer Internet,Mobile & Digital Wallet,Gurgaon,"GMO Payment Gateway, MediaTek",Private Equity,50000000.0,2016.0,3.0
2016-03-05,iDreamCareer,Consumer Internet,Career Planning Services Portal,New Delhi,Brand Capital,Private Equity,,2016.0,3.0
2016-03-05,Zwayam,Consumer Internet,Online Recruitment Platform,Bangalore,Undisclosed investors,Seed Funding,250000.0,2016.0,3.0
2016-03-05,BoiBanit,Consumer Internet,Online Food Delivery platform,Vadodara,Undisclosed investors,Seed Funding,,2016.0,3.0
2016-03-05,Zuver,Consumer Internet,Car driver Discovery App,Mumbai,"Shruth & Smith Group, Hermes Group",Seed Funding,180000.0,2016.0,3.0
2016-03-05,Prepathon,Education,Competitive Exam learning platform,Mumbai,Blume Ventures,Private Equity,,2016.0,3.0
2016-04-05,EasyRoads,Consumer Internet,Road Trip planning Mobile app,Mumbai,"Rohan Angrish, Hrishi Oberoi, Rahul Mehta, Kapil Hetamsaria, Pranav Dedhia",Seed Funding,200000.0,2016.0,4.0
2016-04-05,Lenskart,eCommerce,Eyewear & Accessories etailer,New Delhi,"International Finance Corp, TPG Growth, Adveq Management, IDG Ventures, Ratan Tata, Kris Gopalakrishnan",Private Equity,60000000.0,2016.0,4.0
2016-04-05,Seclore,Technology,Enterprise Security Technology platform,Mumbai,"Sistema Asia Fund, Helion Venture, VentureEast, India Alternatives",Private Equity,12000000.0,2016.0,4.0
2016-04-05,SolarTown,Technology,Solar Rooftop system installation company,Chennai,Grex.in,Seed Funding,200000.0,2016.0,4.0
2016-04-05,Comarete,Technology,Telecom & Media IT services company,Pune,Grex.in,Seed Funding,200000.0,2016.0,4.0
2016-04-05,MyDentistChoice,eCommerce,Medical Supplies eTailer,Hyderabad,Undisclosed investors,Seed Funding,150000.0,2016.0,4.0
2016-04-05,Active.ai,Technology,Intelligent Tech platform for Finance vertical,Singapore,Kalaari Capital Accelerator Program,Seed Funding,500000.0,2016.0,4.0
2016-04-05,Affordplan,Technology,Affordable non-emergency medical service health plans,New Delhi,Kalaari Capital Accelerator Program,Seed Funding,500000.0,2016.0,4.0
2016-04-05,Indee,Consumer Internet,Web Video Streaming Platform,Bangalore,Kalaari Capital Accelerator Program,Seed Funding,500000.0,2016.0,4.0
2016-05-05,Unbxd,Technology,eCommerce product discovery software,New Delhi,"IDG Ventures, Inventus Capital, Indian Angel Network",Private Equity,,2016.0,5.0
2016-05-05,WebAlligator,Consumer Internet,Cloud Based Software Solutions,Bangalore,Group of undisclosed Angel Investors & HNIs,Seed Funding,375000.0,2016.0,5.0
2016-06-05,EduAce Services,Education,Education Workshops & mentoring programs,Lucknow,MoMagic Technologies,Private Equity,1000000.0,2016.0,6.0
2016-06-05,Meesho,eCommerce,Social commerce platform,Bangalore,Rajul Garg & Others,Seed Funding,,2016.0,6.0
2016-07-05,Zebroads,Logistics,Logistics and Warehousing services,Hyderabad,Undisclosed investors,Seed Funding,75000.0,2016.0,7.0
2016-09-05,Locus,Technology,Logistics Intelligence platform,Bangalore,"Exfinity Venture Partners, Blume Ventures, BeeNext, Rajesh Ranavat",Private Equity,2750000.0,2016.0,9.0
2016-09-05,Toko Innovations,Consumer Internet,Children\\xe2\\x80\\x99s Entertainment Portal,Bangalore,"Roopak Saluja, Vishal Khare",Seed Funding,450000.0,2016.0,9.0
2016-09-05,Rentickle,eCommerce,"Furniture, appliances Portal",New Delhi,"Manish Kheterpal, Vinay Mittal, Dinesh Mittal, Sandeep Gupta",Seed Funding,250000.0,2016.0,9.0
2016-10-05,HealthifyMe,Consumer Internet,Health & Fitness App,Bangalore,"IDG Ventures India, Inventus Capital, Blume Ventures",Private Equity,6000000.0,2016.0,10.0
2016-10-05,Zarget,Consumer Internet,Conversion Rate Optimization Platform,Chennai,"Accel Partners, Matrix Partners, Girish Mathrubootham",Private Equity,1500000.0,2016.0,10.0
2016-10-05,InnoNano Research,Technology,Clean Water Technology,Chennai,NanoHoldings,Private Equity,18000000.0,2016.0,10.0
2016-10-05,SchoolWear,eCommerce,School Uniform & Supplies Marketplace,Mumbai,Undisclosed investors,Seed Funding,1500000.0,2016.0,10.0
2016-10-05,Swiggy,Consumer Internet,Food Delivery Platform,Bangalore,"Norwest Venture Partners, DST Global, Accel Partners",Private Equity,7000000.0,2016.0,10.0
2016-11-05,Zenify,Consumer Internet,Home rental Discovery & Booking Portal,Bangalore,Undisclosed Investors,Private Equity,900000.0,2016.0,11.0
2016-11-05,Faircent,Consumer Internet,Online Peer to Peer Lending platform,Gurgaon,"JM Financial Products Ltd, Arun Tadanki, Doreswamy Nandkishore, Kshitij Jain",Private Equity,,2016.0,11.0
2016-11-05,Fractal Analytics,Technology,Data Analytics Company,Mumbai,Khazanah Nasional Berhad,Private Equity,100000000.0,2016.0,11.0
2016-12-05,Unacademy,Consumer Internet,Free Online Education Platform,Bangalore,"Blume Ventures, Rajan Anandan, Sumit Jain, Aprameya Radhakrishna, Sujeet Kumar, Phanindra Sama",Seed Funding,500000.0,2016.0,12.0
2016-12-05,Capital Float,Consumer Internet,Online Lending Platform,Bangalore,"Creation Investments Capital Management, SAIF Partners, Sequoia Capital, Aspada Ventures",Private Equity,25000000.0,2016.0,12.0
2016-12-05,Life Circle,Healthcare,Senior Healthcare Services,Hyderabad,GROUPE SOS,Private Equity,150000.0,2016.0,12.0
2016-12-05,Dream Wallets,Consumer Internet,Online Crowdfunding platform,Jaipur,"Rakesh Gupta, Aditya Aggarwal, Siddharth Banerjee, Vikas Ranjan, Anshul Jindal, Sunil Koul, and Sanjeev Agrawal",Seed Funding,,2016.0,12.0
2016-12-05,ShabdNagari,Consumer Internet,Hindi social networking portal,Kanpur,ah! Ventures,Seed Funding,,2016.0,12.0
2016-12-05,Galleri5,Consumer Internet,Visual Content Discovery platform,Bangalore,"Phanindra Sama, Raghunandan G,",Seed Funding,,2016.0,12.0
2016-12-05,Derbii,Logistics,Carpooling Services,Gurgaon,Anurag Chauhan,Seed Funding,,2016.0,12.0
2016-01-04,Dil Mil,Consumer Internet,Matchmaking Mobile App,SFO / Bangalore,"Nelstone Ventures, Transmedia Capital, Maiden Lane Ventures, CSC Upshot & Angel investors",Private Equity,2700000.0,2016.0,1.0
2016-01-04,PicsDream,Consumer Internet,Online Marketplace for Photographers,Delhi,Raman Roy,Seed Funding,,2016.0,1.0
2016-01-04,Process 9,Consumer Internet,online translation and transliteration,Gurgaon,"Indian Angel Network, Alok Sharma, Kris Gopalakrishnan, Saurabh Srivastava, and Ajai Chowdhry",Seed Funding,,2016.0,1.0
2016-04-04,Housing,Consumer Internet,Real Estate Portal,Mumbai,Vineet Singh,Private Equity,,2016.0,4.0
2016-04-04,Roll Mafia,Food & Beverage,Rolls & Biryanis QSR chain,Pune,Equentia Natural Resource & Other undisclosed investors,Seed Funding,,2016.0,4.0
2016-04-04,Hungama,Consumer Internet,Digital Media Entertainment Portal,Mumbai,Xiaomi Inc,Private Equity,25000000.0,2016.0,4.0
2016-04-04,Highway Delite,Consumer Internet,Various Highway Help Services,Bangalore,N.S. Raghavan Centre for Entrepreneurial Learning,Seed Funding,,2016.0,4.0
2016-05-04,Cult Fitness,Healthcare,Healthcare training programs,Bangalore,Mukesh Bansal,Seed Funding,,2016.0,5.0
2016-05-04,Haptik,Technology,Personal Assistant App,Mumbai,Times Internet Ltd,Private Equity,,2016.0,5.0
2016-05-04,Servify,Consumer Internet,Gadget & Appliances Service App,Mumbai,"Blume Ventures, Barkawi Holdings GmbH, TM Service Technology Holdings GmbH",Private Equity,,2016.0,5.0
2016-06-04,Shipsy,Logistics,Logistics Solutions,Gurgaon,DTDC Express Ltd,Private Equity,1000000.0,2016.0,6.0
2016-06-04,gear6,Consumer Internet,Online bike service and repairs platform,Bangalore,Ninestarter,Seed Funding,500000.0,2016.0,6.0
2016-06-04,MyGlamm,Consumer Internet,Mobile based on-demand Beauty Services platform,Mumbai,L\\xe2\\x80\\x99Occitane,Private Equity,6000000.0,2016.0,6.0
2016-06-04,Petoo,Consumer Internet,Online Food Delivery Platform,Bangalore,Axilor Ventures,Private Equity,1000000.0,2016.0,6.0
2016-07-04,Truly Social,Consumer Internet,Mobile Gaming Studio,London,Nazara Technologies Pvt Ltd,Private Equity,,2016.0,7.0
2016-08-04,Little Black Book,Consumer Internet,"Curated Food, event & Lifestyle guide",New Delhi,"IDG, Indian Angel Network",Seed Funding,,2016.0,8.0
2016-08-04,Vahan,Education,Mobile Education Platform,Chennai,Villgro,Seed Funding,,2016.0,8.0
2016-08-04,imedilane,Consumer Internet,Online Health Diagnosis platform,New Delhi,"Mahendra Patel, Nilender Chauhan",Seed Funding,40000.0,2016.0,8.0
2016-11-04,Living Local,Consumer Internet,Social discovery platform,Mumbai,Rattan Chadha,Seed Funding,200000.0,2016.0,11.0
2016-11-04,Vegfru,eCommerce,Online Fruit & Vegetable Marketplace,New Delhi,Wingify,Seed Funding,,2016.0,11.0
2016-11-04,Oyo,Consumer Internet,Online Branded Budget Room Booking Service,New Delhi,"Softbank, Sequoia Capital, Lightspeed Venture Partners, Greenoaks Capital, DSG Consumer Partners and Venture Nursery",Private Equity,100000000.0,2016.0,11.0
2016-11-04,PriceRaja,Consumer Internet,Price Comparison Portal,Gurgaon,Prashant Puri,Seed Funding,300000.0,2016.0,11.0
2016-12-04,MagicX,Consumer Internet,On-Demand Task Management App,Bangalore,"Kris Gopalakrishnan, Dr. Ranjan Pai",Seed Funding,1000000.0,2016.0,12.0
2016-12-04,Happydemic,Consumer Internet,Artist Discovery & Booking platform,Mumbai,Shaan,Seed Funding,,2016.0,12.0
2016-12-04,LenDenClub,Finance,Peer-to-Peer Lending Platform,Mumbai,"Anirudh Damani, Daud Ali, Narendra Karnavat, Vikas Kapoor, Vikram Lakhotia, Krishna Jhunjhunwaala, Jayesh Shah",Seed Funding,,2016.0,12.0
2016-12-04,Indi.com,Consumer Internet,Video Social Network,Unknown,Anil Kapoor,Seed Funding,,2016.0,12.0
2016-01-03,DriveU,Consumer Internet,Chauffeurs Discovery for private car owners,Bangalore,Unitus Seed Fund,Seed Funding,,2016.0,1.0
2016-01-03,Gympik,Consumer Internet,"Fitness Centres, Gym Discovery online marketplace",Bangalore,RoundGlass Partners,Private Equity,,2016.0,1.0
2016-01-03,Testbook,Consumer Internet,Online Test Preparation Platform,Mumbai,S Chand & Co,Private Equity,,2016.0,1.0
2016-01-03,IQlect,Technology,Big Data Analytics Platform,Bangalore,"Lip-Bu Tan, Michael Marks, Nicolas Braithwaite",Private Equity,,2016.0,1.0
2016-02-03,MoMark,Consumer Internet,Mobile Wallet Aggregation platform,Noida,YourNest Angel Fund,Private Equity,600000.0,2016.0,2.0
2016-02-03,Skedool,Consumer Internet,AI based Office Assistant Mobile App,Seattle / Bangalore,"Kludein LLC\\nPhanindra Sama, Narayan Ramachandran, Pranav Pai",Seed Funding,,2016.0,2.0
2016-02-03,Systemantics,Technology,Industrial robots maker,Bangalore,"Nandan Nilekani, Accel Partners",Private Equity,1400000.0,2016.0,2.0
2016-03-03,Vertuals,Technology,Audio Visual Digital Content creators for Brands,Mumbai,Dino Morea,Seed Funding,,2016.0,3.0
2016-03-03,Imarticus Learning,Education,Financial Services & Analytics Education Institute,Mumbai,"Blinc Advisors, Amit Nanavati, Tashwinder Singh, Taranjit Jaswal, Amit Khanna",Private Equity,1000000.0,2016.0,3.0
2016-03-03,Shouut,Consumer Internet,Social Discovery Mobile app,New Delhi,Undisclosed investor,Seed Funding,500000.0,2016.0,3.0
2016-04-03,TinyStep,Consumer Internet,Parenting Social Network Platform,Bangalore,Matt Glickman,Private Equity,,2016.0,4.0
2016-04-03,Aahaa,ECommerce,Office Products Super Store,Chennai,"YourNest Angel Fund,",Private Equity,1000000.0,2016.0,4.0
2016-04-03,Arcatron Mobility,Technology,Smart wheelchair Design and Development,Pune,"Sudhir Mehta, Anoop Hingorani",Seed Funding,,2016.0,4.0
2016-04-03,FTCash,Consumer Internet,Mobile Payments Platform,Kolkata,IvyCap Ventures,Seed Funding,150000.0,2016.0,4.0
2016-04-03,Civilsdaily,Consumer Internet,Civil Services News Aggregator,New Delhi,Manoj Kumar & Other undisclosed investors,Seed Funding,,2016.0,4.0
2016-04-03,Zappka,Consumer Internet,Mobile App discovery and review platform,Gurgaon,"Daman Soni, Rajat Gupta & Others",Seed Funding,100000.0,2016.0,4.0
2016-04-03,Tarusa World,ECommerce,Handicraft products eTailer,Mumbai,Mohit Gulati,Seed Funding,,2016.0,4.0
2016-04-03,medECUBE,Healthcare,Healthcare related Services provider,Gurgaon,Artiman Ventures,Private Equity,4000000.0,2016.0,4.0
2016-07-03,N.O.W,Consumer Internet,Bike Taxi Service & Hyperlocal Delivery App,Noida,"Ruchirans Jaipuria, Anuj Sanghi",Seed Funding,500000.0,2016.0,7.0
2016-07-03,Ninjacart,ECommerce,B2B marketplace for Farmers & Retailers,Bangalore,"Accel Partners, Qualcomm Ventures, M&S Partners, Zop Smart",Private Equity,3000000.0,2016.0,7.0
2016-07-03,Reach,Consumer Internet,Cross Platform P2P file sharing mobile app,Bangalore,"Rebright Partners, Sol Primero, Sudhir Anandarao, Ankur Warikoo, Ankur Singla",Seed Funding,500000.0,2016.0,7.0
2016-07-03,Vanity Cube,Consumer Internet,Hyperlocal Beauty Services platform,New Delhi,Unicorn Ventures,Seed Funding,250000.0,2016.0,7.0
2016-07-03,Wooplr,ECommerce,Curated Fashion ECommerce portal,Bangalore,"Naveen Tewari, Abhay Singhal, Amit Gupta, Piyush Shah, Raghunandan G, Rajiv Mehta",Seed Funding,,2016.0,7.0
2016-07-03,Medidaili,Consumer Internet,Medical Support service platform,Bangalore,Undisclosed private investors,Seed Funding,100000.0,2016.0,7.0
2016-08-03,Finomena,Technology,Credit Worthiness Big Data Analytics,New Delhi,Matrix Partners India,Private Equity,,2016.0,8.0
2016-08-03,Cookaroo,Consumer Internet,Food Delivery Platform,Bangalore,Vijay Krishna Yadav,Seed Funding,,2016.0,8.0
2016-08-03,vPhrase Analytics,Technology,AI based data analytics platform,Mumbai,"Apoorv Ranjan Sharma, Daud Ali and others",Seed Funding,,2016.0,8.0
2016-08-03,LoveCycles,Consumer Internet,Women\\xe2\\x80\\x99s health Tracker,Bangalore,Prime Venture Partners,Seed Funding,750000.0,2016.0,8.0
2016-08-03,Kartrocket,ECommerce,ECommerce SAAS platform,New Delhi,"Undisclosed Japanese investor, Bertelsmann India Investments, Nirvana Digital India Fund, Nirvana Digital Investment Holding Co Ltd, 500 Start-Ups",Private Equity,8000000.0,2016.0,8.0
2016-08-03,dunzo,Consumer Internet,Daily Task Management App,Bangalore,"Aspada Investment Advisors, Blume Ventures.",Seed Funding,650000.0,2016.0,8.0
2016-09-03,Indiamart,ECommerce,B2B Marketplace for SMBs,Noida,Amadeus Capital,Private Equity,,2016.0,9.0
2016-09-03,SmartVizX,Technology,Virtual Reality Solutions,Noida,"Indian Angel Network, Stanford Angels, Entrepreneurs India",Seed Funding,500000.0,2016.0,9.0
2016-09-03,MyGubbi,Real Estate,Interior Design & Home D\\xc3\\xa9cor Solutions,Bangalore,"Vipul Parekh, ajesh K Murthy,",Seed Funding,2500000.0,2016.0,9.0
2016-09-03,Nukkad Shops,Consumer Internet,Hyperlocal Grocery Delivery Service,Hyderabad,PurpleTalk Inc,Seed Funding,1000000.0,2016.0,9.0
2016-09-03,Cloudacar,Consumer Internet,Carpooling Mobile App,Pune,"Amit Choudhary, Anuj Puri",Seed Funding,,2016.0,9.0
2016-09-03,Justride,Consumer Internet,Self Drive Car Rental,Mumbai,Dheeraj Jain & Other angel investors,Seed Funding,400000.0,2016.0,9.0
2016-09-03,Yana,Consumer Internet,Personal AI Transaction Engine App,Gurgaon,"Puneet Gupta,",Seed Funding,,2016.0,9.0
2016-10-03,Big Fish Ventures,Food & Beverage,premium dining lounges Chain,New Delhi,Undisclosed investors,Private Equity,11100000.0,2016.0,10.0
2016-10-03,Stylflip,ECommerce,Pre-Owned Fashion marketplace mobile app,Mumbai,"Raj Gala Shah, Zaheer Memon",Seed Funding,,2016.0,10.0
